normalized_bandwidth,normalized_variance,normalized_squared_bias,normalized_total_loss
0.350000,2.285714,0.003001,2.288716
0.360000,2.222222,0.003359,2.225581
0.370000,2.162162,0.003748,2.165910
0.380000,2.105263,0.004170,2.109433
0.390000,2.051282,0.004627,2.055909
0.400000,2.000000,0.005120,2.005120
0.410000,1.951220,0.005652,1.956871
0.420000,1.904762,0.006223,1.910985
0.430000,1.860465,0.006838,1.867303
0.440000,1.818182,0.007496,1.825678
0.450000,1.777778,0.008201,1.785979
0.460000,1.739130,0.008955,1.748085
0.470000,1.702128,0.009759,1.711887
0.480000,1.666667,0.010617,1.677283
0.490000,1.632653,0.011530,1.644183
0.500000,1.600000,0.012500,1.612500
0.510000,1.568627,0.013530,1.582158
0.520000,1.538462,0.014623,1.553085
0.530000,1.509434,0.015781,1.525215
0.540000,1.481481,0.017006,1.498488
0.550000,1.454545,0.018301,1.472847
0.560000,1.428571,0.019669,1.448240
0.570000,1.403509,0.021112,1.424621
0.580000,1.379310,0.022633,1.401943
0.590000,1.355932,0.024235,1.380167
0.600000,1.333333,0.025920,1.359253
0.610000,1.311475,0.027692,1.339167
0.620000,1.290323,0.029553,1.319875
0.630000,1.269841,0.031506,1.301347
0.640000,1.250000,0.033554,1.283554
0.650000,1.230769,0.035701,1.266470
0.660000,1.212121,0.037949,1.250071
0.670000,1.194030,0.040302,1.234332
0.680000,1.176471,0.042763,1.219233
0.690000,1.159420,0.045334,1.204755
0.700000,1.142857,0.048020,1.190877
0.710000,1.126761,0.050823,1.177584
0.720000,1.111111,0.053748,1.164859
0.730000,1.095890,0.056796,1.152687
0.740000,1.081081,0.059973,1.141054
0.750000,1.066667,0.063281,1.129948
0.760000,1.052632,0.066724,1.119356
0.770000,1.038961,0.070306,1.109267
0.780000,1.025641,0.074030,1.099671
0.790000,1.012658,0.077900,1.090558
0.800000,1.000000,0.081920,1.081920
0.810000,0.987654,0.086093,1.073748
0.820000,0.975610,0.090424,1.066034
0.830000,0.963855,0.094917,1.058772
0.840000,0.952381,0.099574,1.051955
0.850000,0.941176,0.104401,1.045578
0.860000,0.930233,0.109402,1.039634
0.870000,0.919540,0.114580,1.034120
0.880000,0.909091,0.119939,1.029030
0.890000,0.898876,0.125484,1.024361
0.900000,0.888889,0.131220,1.020109
0.910000,0.879121,0.137150,1.016271
0.920000,0.869565,0.143279,1.012844
0.930000,0.860215,0.149610,1.009825
0.940000,0.851064,0.156150,1.007214
0.950000,0.842105,0.162901,1.005007
0.960000,0.833333,0.169869,1.003203
0.970000,0.824742,0.177059,1.001801
0.980000,0.816327,0.184474,1.000800
0.990000,0.808081,0.192119,1.000200
1.000000,0.800000,0.200000,1.000000
1.010000,0.792079,0.208121,1.000200
1.020000,0.784314,0.216486,1.000800
1.030000,0.776699,0.225102,1.001801
1.040000,0.769231,0.233972,1.003202
1.050000,0.761905,0.243101,1.005006
1.060000,0.754717,0.252495,1.007212
1.070000,0.747664,0.262159,1.009823
1.080000,0.740741,0.272098,1.012839
1.090000,0.733945,0.282316,1.016261
1.100000,0.727273,0.292820,1.020093
1.110000,0.720721,0.303614,1.024335
1.120000,0.714286,0.314704,1.028990
1.130000,0.707965,0.326095,1.034059
1.140000,0.701754,0.337792,1.039546
1.150000,0.695652,0.349801,1.045453
