sample_size,relative_bandwidth_fraction,relative_observations_in_window
200,1.000000,1.000000
208,0.992187,1.031874
216,0.984726,1.063504
225,0.976719,1.098809
234,0.969087,1.133832
243,0.961800,1.168587
253,0.954074,1.206903
263,0.946705,1.244918
273,0.939666,1.282644
284,0.932271,1.323825
296,0.924587,1.368388
308,0.917267,1.412591
320,0.910282,1.456451
333,0.903061,1.503597
346,0.896171,1.550375
360,0.889090,1.600361
374,0.882331,1.649960
389,0.875419,1.702690
404,0.868820,1.755016
421,0.861687,1.813851
437,0.855283,1.868793
455,0.848406,1.930124
473,0.841848,1.990971
492,0.835243,2.054698
500,0.832553,2.081383
511,0.828938,2.117935
532,0.822287,2.187285
553,0.815945,2.256088
575,0.809604,2.327610
598,0.803278,2.401801
622,0.796981,2.478611
647,0.790724,2.557993
673,0.784518,2.639904
699,0.778593,2.721183
727,0.772501,2.808042
756,0.766481,2.897300
786,0.760539,2.988918
818,0.754493,3.085877
850,0.748725,3.182080
884,0.742875,3.283506
920,0.736968,3.390051
956,0.731332,3.495766
995,0.725507,3.609395
1000,0.724780,3.623898
1034,0.719949,3.722138
1075,0.714372,3.839748
1118,0.708790,3.962137
1163,0.703218,4.089213
1209,0.697784,4.218102
1258,0.692261,4.354322
1308,0.686886,4.492232
1360,0.681551,4.634545
1414,0.676264,4.781185
1471,0.670940,4.934761
1529,0.665770,5.089815
1590,0.660582,5.251625
1654,0.655389,5.420064
1720,0.650280,5.592407
1788,0.645257,5.768595
1860,0.640182,5.953692
1934,0.635206,6.142444
2000,0.630957,6.309573
2011,0.630266,6.337320
2091,0.625367,6.538215
2175,0.620461,6.747508
2261,0.615667,6.960116
2352,0.610827,7.183331
2446,0.606059,7.412098
2543,0.601363,7.646331
2645,0.596652,7.890718
2750,0.592024,8.140333
2860,0.587398,8.399798
2974,0.582825,8.666600
3092,0.578307,8.940619
3216,0.573777,9.226327
3344,0.569315,9.518949
3478,0.564859,9.822899
3616,0.560480,10.133483
3761,0.556090,10.457278
3911,0.551758,10.789623
4067,0.547458,11.132568
4229,0.543198,11.485930
4398,0.538958,11.851687
4573,0.534768,12.227480
4755,0.530611,12.615266
4945,0.526469,13.016944
5000,0.525306,13.132639
5143,0.522351,13.432264
5348,0.518284,13.858912
5561,0.514251,14.298758
5783,0.510241,14.753619
6014,0.506260,15.223228
6254,0.502313,15.707328
6503,0.498406,16.205671
6762,0.494528,16.719995
7032,0.490671,17.251986
7313,0.486841,17.801330
7605,0.483043,18.367725
7908,0.479284,18.950878
8223,0.475554,19.552407
8551,0.471849,20.173884
8893,0.468162,20.816832
9247,0.464522,21.477152
9616,0.460900,22.160092
10000,0.457305,22.865253
